,job vacancies,unemployment benefits,forex rate,how to migrate
2018-01-01,41.5,30.4,44.3,26.4
2018-02-01,43.3,23.7,37.5,23.2
2018-03-01,49.2,32.3,29.4,16.6
2018-04-01,54.9,36.2,38.8,24.5
2018-05-01,52.2,42.0,30.7,23.1
2018-06-01,53.9,35.3,39.7,28.7
2018-07-01,60.3,35.2,41.7,24.8
2018-08-01,57.9,37.3,32.0,27.6
2018-09-01,53.3,43.5,41.1,30.1
2018-10-01,54.7,41.5,38.5,31.6
2018-11-01,49.2,38.2,40.7,25.7
2018-12-01,46.3,42.2,46.2,28.3
2019-01-01,45.0,40.2,35.6,27.7
2019-02-01,35.0,43.1,33.3,26.9
2019-03-01,32.0,35.6,32.7,33.7
2019-04-01,32.2,36.2,33.3,29.0
2019-05-01,27.9,35.0,37.1,23.2
2019-06-01,29.5,29.8,39.4,28.9
2019-07-01,24.0,36.0,39.2,31.6
2019-08-01,21.3,35.4,42.2,27.5
2019-09-01,29.4,34.2,38.5,18.9
2019-10-01,24.2,33.7,46.4,21.1
2019-11-01,25.5,29.9,39.0,25.6
2019-12-01,21.9,35.3,55.9,19.0
2020-01-01,26.0,37.5,48.3,21.9
2020-02-01,29.9,37.9,44.7,22.5
2020-03-01,28.8,42.7,47.8,17.2
2020-04-01,36.7,47.0,59.3,19.8
2020-05-01,37.7,54.5,58.0,10.5
2020-06-01,42.7,48.5,62.8,17.6
2020-07-01,45.6,48.9,59.6,20.5
2020-08-01,56.4,47.0,53.5,18.5
2020-09-01,53.2,38.4,45.8,28.2
2020-10-01,51.4,44.4,38.9,20.3
2020-11-01,57.1,43.0,41.7,24.8
2020-12-01,50.0,51.1,46.6,28.2
2021-01-01,52.2,39.2,42.5,33.9
2021-02-01,43.0,40.5,34.9,27.1
2021-03-01,41.6,38.9,41.9,36.9
2021-04-01,42.7,34.7,43.0,35.4
2021-05-01,40.9,44.6,36.8,34.4
2021-06-01,36.1,44.0,42.2,40.6
2021-07-01,32.7,45.3,41.8,41.7
2021-08-01,30.2,39.8,36.0,41.1
2021-09-01,25.5,50.2,43.6,44.7
2021-10-01,27.5,40.1,44.8,44.8
2021-11-01,28.9,49.0,47.6,47.6
2021-12-01,35.0,56.1,47.6,50.4
2022-01-01,35.1,43.8,35.6,54.1
2022-02-01,31.7,45.7,37.9,46.4
2022-03-01,41.4,48.4,45.4,57.0
2022-04-01,42.9,45.7,45.5,45.1
2022-05-01,45.8,41.0,45.7,50.7
2022-06-01,53.3,46.7,62.5,52.9
2022-07-01,57.8,41.3,46.3,51.8
2022-08-01,60.2,46.4,49.2,48.9
2022-09-01,56.9,39.7,48.5,49.8
2022-10-01,59.7,48.4,47.1,48.6
2022-11-01,62.0,37.8,42.5,47.9
2022-12-01,63.4,38.4,48.0,51.9
2023-01-01,57.6,41.8,40.5,50.1
2023-02-01,56.3,32.6,43.5,46.8
2023-03-01,50.7,37.5,42.6,51.4
2023-04-01,47.2,41.1,46.2,49.7
2023-05-01,49.7,28.9,58.7,51.5
2023-06-01,47.8,35.7,40.2,51.3
2023-07-01,40.1,36.0,56.8,47.6
2023-08-01,40.4,38.3,50.5,49.3
2023-09-01,36.1,30.7,62.3,54.3
2023-10-01,31.3,31.1,76.0,55.2
2023-11-01,33.5,39.5,75.1,54.8
2023-12-01,37.1,39.9,70.6,56.9
2024-01-01,33.3,41.2,70.5,62.3
2024-02-01,39.8,43.3,72.9,58.8
2024-03-01,29.8,41.0,60.0,64.4
2024-04-01,43.2,46.7,59.1,64.5
2024-05-01,44.5,49.0,53.8,66.9
2024-06-01,47.1,47.1,47.3,73.3
